dataset,group,head,metric,mean,std,ci95_low,ci95_high,n
BoT-IoT,novelty_head,ocsvm,fpr_at_95_tpr,0.2783604970146845,0.042272909869063825,0.22587174673095528,0.33084924729841375,5
BoT-IoT,novelty_head,ocsvm,known_false_positive_rate,0.09704695820558336,0.0015812639871781561,0.0950835596410481,0.09901035677011862,5
BoT-IoT,novelty_head,ocsvm,zero_day_true_positive_rate,0.7490483162518301,0.020276995171026716,0.7238711013562146,0.7742255311474456,5
BoT-IoT,novelty_head,ocsvm,balanced_accuracy,0.8260006790231234,0.010505724255982252,0.8129560994394142,0.8390452586068325,5
BoT-IoT,per_attack_zero_day,isolation_forest,zero_day_auroc[Theft],0.7570162139412693,0.014877467526042307,0.7385433981297369,0.7754890297528017,5
BoT-IoT,per_attack_zero_day,autoencoder,zero_day_auroc[Theft],0.9185081053955404,0.02312281446477833,0.8897973391374798,0.947218871653601,5
BoT-IoT,per_attack_zero_day,ocsvm,zero_day_auroc[Theft],0.9338052000633503,0.011398655001468512,0.9196519005200816,0.947958499606619,5
UNSW-NB15,detector,,accuracy,0.8026769779892922,0.0011697704702560447,0.8012245161102134,0.8041294398683709,5
UNSW-NB15,detector,,balanced_accuracy,0.7083148941980292,0.005024067143489765,0.7020766909013995,0.7145530974946589,5
UNSW-NB15,detector,,f1_macro,0.6035253769733175,0.0028612572198178283,0.5999726568938691,0.6070780970527659,5
UNSW-NB15,detector,,auroc_ovr_macro,0.9698715273873327,0.00026580396556528707,0.9695414881727106,0.9702015666019549,5
UNSW-NB15,detector,,auprc_ovr_macro,0.6682173004634594,0.0017903306966442244,0.6659943112925572,0.6704402896343616,5
UNSW-NB15,detector,,binary_accuracy,0.8642871306761849,0.0007787958313169014,0.8633201279304875,0.8652541334218823,5
UNSW-NB15,detector,,binary_f1_macro,0.8640676668234784,0.0007717970581517063,0.8631093542024518,0.8650259794445049,5
UNSW-NB15,detector,,binary_auroc,0.9664791350208525,0.0001483975973308593,0.9662948750668268,0.9666633949748782,5
UNSW-NB15,novelty_head,isolation_forest,zero_day_auroc,0.3829707443616477,0.0051142866272537585,0.37662051878009173,0.38932096994320364,5
UNSW-NB15,novelty_head,isolation_forest,zero_day_auprc,0.08384901157228822,0.0014144852073538815,0.08209269621432512,0.08560532693025132,5
UNSW-NB15,novelty_head,isolation_forest,fpr_at_95_tpr,0.9553638707118777,0.004537764492958532,0.9497294919086436,0.9609982495151117,5
UNSW-NB15,novelty_head,isolation_forest,known_false_positive_rate,0.10003965893317471,0.0008671849932845483,0.09896290654723071,0.10111641131911871,5
UNSW-NB15,novelty_head,isolation_forest,zero_day_true_positive_rate,0.060690789473684205,0.009579797939752279,0.04879589926182719,0.07258567968554122,5
UNSW-NB15,novelty_head,isolation_forest,balanced_accuracy,0.4803255652702547,0.004819010498521302,0.47434197342727485,0.4863091571132346,5
UNSW-NB15,novelty_head,autoencoder,zero_day_auroc,0.336886786791488,0.08632085943669766,0.22970528333493262,0.44406829024804334,5
UNSW-NB15,novelty_head,autoencoder,zero_day_auprc,0.09191067543878918,0.04190589519632015,0.03987763406101829,0.14394371681656007,5
UNSW-NB15,novelty_head,autoencoder,fpr_at_95_tpr,0.9714653975808052,0.018692809143076652,0.9482552094425527,0.9946755857190577,5
UNSW-NB15,novelty_head,autoencoder,known_false_positive_rate,0.10162601626016261,0.003410870000350897,0.09739086177817363,0.1058611707421516,5
UNSW-NB15,novelty_head,autoencoder,zero_day_true_positive_rate,0.06546052631578948,0.11397978848537907,-0.07606407356938592,0.20698512620096488,5
UNSW-NB15,novelty_head,autoencoder,balanced_accuracy,0.4819172550278134,0.05697812307653782,0.4111695709184532,0.5526649391371736,5
UNSW-NB15,novelty_head,ocsvm,zero_day_auroc,0.4785015804867612,0.004742908327499458,0.47261248196972433,0.4843906790037981,5
UNSW-NB15,novelty_head,ocsvm,zero_day_auprc,0.09265257128930578,0.0007621188091496045,0.09170627580163078,0.09359886677698077,5
UNSW-NB15,novelty_head,ocsvm,fpr_at_95_tpr,0.790680150703946,0.008388766722714675,0.7802641210750214,0.8010961803328707,5
UNSW-NB15,novelty_head,ocsvm,known_false_positive_rate,0.10428316478286734,0.0010548828933785756,0.10297335467183814,0.10559297489389653,5
UNSW-NB15,novelty_head,ocsvm,zero_day_true_positive_rate,0.03930921052631579,0.003918134621569603,0.034444203826597075,0.0441742172260345,5
UNSW-NB15,novelty_head,ocsvm,balanced_accuracy,0.4675130228717242,0.0015478169452145453,0.46559115429504155,0.46943489144840683,5
UNSW-NB15,per_attack_zero_day,isolation_forest,zero_day_auroc[Shellcode],0.38148076261663816,0.004725443165122497,0.3756133499629475,0.38734817527032883,5
